Category,Issue_Number,Title,Summary,Technical_Details,Categorization_Reason,Labels,State,Created_Date,Updated_Date,Author,Assignees,Comments_Count,URL,Is_Pull_Request,Body_Length,Priority_Indicators
Error Crash,11364,[Bug]: Cannot schedule new futures after interpreter has shutdown when OpenHands receives Ctrl + C,Cannot schedule new futures after interpreter has shutdown when OpenHands receives Ctrl + C. ### Is there an existing issue for the same bug...,loop.py:24 - RuntimeError: There was an unexpected error while running the agent: RuntimeError. You ; Cannot schedule new futures after interpreter has shutdown when OpenHands receives Ctrl + C ### Is t; cannot schedule new futures after shutdown`,Contains error/crash related keywords,bug; headless,open,2025-10-14,2025-10-17,lgnashold,,8,https://github.com/OpenHands/OpenHands/issues/11364,No,3709,Normal
Error Crash,11363,[Bug]: cannot connect to paid cloud model,cannot connect to paid cloud model. ### Is there an existing issue for the same bug...,"cannot connect to paid cloud model ### Is there an existing issue for the same bug? (If one exists, ; cannot connect to previous chat with paid cloud model",Contains error/crash related keywords,bug,open,2025-10-14,2025-10-14,captainbadass2,,2,https://github.com/OpenHands/OpenHands/issues/11363,No,710,Normal
Error Crash,11344,[Bug]: Hard to read CLI outputs on light themed terminal,Hard to read CLI outputs on light themed terminal. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; CLI,open,2025-10-13,2025-10-13,malhotra5,,0,https://github.com/OpenHands/OpenHands/issues/11344,No,656,Normal
Error Crash,11314,[Bug]: npm run dev,npm run dev. ### Is there an existing issue for the same bug...,Agent got stuck in a loop,Contains error/crash related keywords,bug; agent,open,2025-10-10,2025-10-10,dayman8888,,2,https://github.com/OpenHands/OpenHands/issues/11314,No,1168,Normal
Error Crash,11308,[Bug]: OpenHands Provider Qwen 3 Coder provides incoherent results,OpenHands Provider Qwen 3 Coder provides incoherent results. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; llm,open,2025-10-09,2025-10-10,neubig,xingyaoww,0,https://github.com/OpenHands/OpenHands/issues/11308,No,946,Normal
Error Crash,11275,[Bug]: 0.58.0 build error on Windows,0.58.0 build error on Windows. ### Is there an existing issue for the same bug...,[WinError 3] The system cannot find the path specified:; FileNotFoundError: [WinError 3] The system cannot find the path specified:; Failed to build `openhands-ai==0,Contains error/crash related keywords,bug; windows,open,2025-10-07,2025-10-10,EuphoricPenguin,,1,https://github.com/OpenHands/OpenHands/issues/11275,No,5214,Normal
Error Crash,11250,[Bug]: Node not available in agent terminal inside runtime container,Node not available in agent terminal inside runtime container. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug,open,2025-10-06,2025-10-06,LordSyd,,1,https://github.com/OpenHands/OpenHands/issues/11250,No,1380,Normal
Error Crash,11247,[Bug]: Windows: Multiple Initialization Failures - Missing Config Files and JSON Decode Errors,Windows: Multiple Initialization Failures - Missing Config Files and JSON Decode Errors. ### Is there an existing issue for the same bug...,Expecting value: line 1 column 1 (char 0); local.py:49 - Error reading file settings.json: [Errno 2] No such file or directory: 'C:\\Users\\adm; Exception in ASGI application,Contains error/crash related keywords,bug; windows,open,2025-10-05,2025-10-06,dayman8888,,0,https://github.com/OpenHands/OpenHands/issues/11247,No,11240,Normal
Error Crash,11194,[Bug][V1 - CLI] Several exceptions thrown when using Linear MCP ,[V1 - CLI] Several exceptions thrown when using Linear MCP . ### Is there an existing issue for the same bug...,'list' object has no attribute 'items'; 'list' object has no attribute 'items'; AttributeError: 'list' object has no attribute 'items',Contains error/crash related keywords,bug; CLI; backlog,open,2025-09-30,2025-10-01,jpelletier1,,0,https://github.com/OpenHands/OpenHands/issues/11194,No,4789,Normal
Error Crash,11188,"[Bug]: ""openhands serve"" hangs on ""starting runtime"" even though runtime container appears to be running (arch, 0.57.2))","""openhands serve"" hangs on ""starting runtime"" even though runtime container appears to be running (arch, 0.57.2)). ### Is there an existing issue for the same bug...",,Contains error/crash related keywords,bug,open,2025-09-30,2025-10-01,vputz,,4,https://github.com/OpenHands/OpenHands/issues/11188,No,2926,Normal
Error Crash,11157,[Bug]: Conversation titles get reset with every user message,Conversation titles get reset with every user message. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; OH UI/UX,open,2025-09-27,2025-09-29,rbren,,1,https://github.com/OpenHands/OpenHands/issues/11157,No,660,Normal
Error Crash,11139,[Bug]: can't edit file in vscode-remote,can't edit file in vscode-remote. ### Is there an existing issue for the same bug...,"EACCES: permission denied, open '/workspace/example.py')`.; Failed to save 'example; Unable to write file 'vscode-remote://127",Contains error/crash related keywords,bug; VS code tab,open,2025-09-26,2025-10-09,betnevs,,2,https://github.com/OpenHands/OpenHands/issues/11139,No,882,Normal
Error Crash,11103,[Bug v1]: v1 CLI takes a few seconds to close,[Bug v1]: v1 CLI takes a few seconds to close. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; CLI,open,2025-09-24,2025-09-29,xingyaoww,,3,https://github.com/OpenHands/OpenHands/issues/11103,No,645,Normal
Error Crash,11097,[Bug]:  Docker CPU usage,Docker CPU usage. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug,open,2025-09-24,2025-09-28,NoloxoYT,,2,https://github.com/OpenHands/OpenHands/issues/11097,No,715,Normal
Error Crash,11092,[Bug]: Enable extended thinking for claude,Enable extended thinking for claude. ### Is there an existing issue for the same bug...,"{'type': 'invalid_request_error', 'message':; AnthropicError: {'type': 'invalid_request_error', 'message':",Contains error/crash related keywords,bug,open,2025-09-24,2025-09-30,Violettttee,,2,https://github.com/OpenHands/OpenHands/issues/11092,No,3187,Normal
Error Crash,11065,"[Bug]: Manual conversation rename doesn't ""stick""","Manual conversation rename doesn't ""stick"". ### Is there an existing issue for the same bug...",,Contains error/crash related keywords,bug; OH UI/UX; app-team,open,2025-09-22,2025-09-22,neubig,,3,https://github.com/OpenHands/OpenHands/issues/11065,No,658,Normal
Error Crash,11057,[Bug]: Text in main message input box disappears on redraw (repository-selection-form),Text in main message input box disappears on redraw (repository-selection-form). ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; OH UI/UX; app-team,open,2025-09-22,2025-09-22,hieptl,,0,https://github.com/OpenHands/OpenHands/issues/11057,No,1202,Normal
Error Crash,11056,[Bug]: Messages are lost when server is stopped and status indicator is unclear,Messages are lost when server is stopped and status indicator is unclear. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; OH UI/UX; backend,open,2025-09-22,2025-09-22,hieptl,,1,https://github.com/OpenHands/OpenHands/issues/11056,No,1701,Normal
Error Crash,11048,[Bug]: BadRequestError: litellm.BadRequestError: PerplexityExeption,BadRequestError: litellm.BadRequestError: PerplexityExeption. ### Is there an existing issue for the same bug...,litellm.BadRequestError: PerplexityExeption ### Is there an existing issue for the same bug? (If one; agent_controller.py:365 - [Agent Controller fd48461712a3498e8728d4e0d3a58ae5] Error while running th; litellm.BadRequestError: PerplexityExeption ### Is there an existing issue for the same bug? (If one,Contains error/crash related keywords,bug; llm,open,2025-09-20,2025-10-22,hbose1981,,1,https://github.com/OpenHands/OpenHands/issues/11048,No,2435,Normal
Error Crash,11046,[Bug]: WORKSPACE_MOUNT_PATH cannot be unset,WORKSPACE_MOUNT_PATH cannot be unset. ### Is there an existing issue for the same bug...,"cannot be unset ### Is there an existing issue for the same bug? (If one exists, thumbs up or commen",Contains error/crash related keywords,bug,open,2025-09-20,2025-09-20,kripper,,0,https://github.com/OpenHands/OpenHands/issues/11046,No,702,Normal
Error Crash,11011,[Bug]: OpenHands incorrectly modifies the code in `/openhands/code`,OpenHands incorrectly modifies the code in `/openhands/code`. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; Stale,open,2025-09-17,2025-10-29,neubig,malhotra5,2,https://github.com/OpenHands/OpenHands/issues/11011,No,933,Normal
Error Crash,11010,[Bug]: CLI --conversation parameter not working?,CLI --conversation parameter not working?. ### Is there an existing issue for the same bug...,unrecognized arguments: --conversation ...,Contains error/crash related keywords,bug; CLI,open,2025-09-17,2025-09-19,bonswouar,,2,https://github.com/OpenHands/OpenHands/issues/11010,No,891,Normal
Error Crash,10995,[Bug]: CLI UI - underscores turn text into italic when it shouldn't,CLI UI - underscores turn text into italic when it shouldn't. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug; Stale; CLI,open,2025-09-17,2025-10-28,simonrosenberg,,1,https://github.com/OpenHands/OpenHands/issues/10995,No,548,Normal
Error Crash,10872,[Bug]: `$REPO_PATH` not set for LocAgent,`$REPO_PATH` not set for LocAgent. ### Is there an existing issue for the same bug...,,Contains error/crash related keywords,bug,open,2025-09-08,2025-10-21,Timisorean,,4,https://github.com/OpenHands/OpenHands/issues/10872,No,5639,Normal
Error Crash,10869,[Bug]: Encounter subsequent litellm.BadRequestError: Error code: 400 even though non-empty content was sent after first initial conversation session was successful,Encounter subsequent litellm.BadRequestError: Error code: 400 even though non-empty content was sent after first initial conversation session was successful. ### Is there an existing issue for the same bug...,Error code: 400 even though non-empty content was sent after first initial conversation session was ; litellm.BadRequestError: Error code: 400 - {'error': {'message': 'litellm.BadRequestError: MistralEx; Error code: 400 even though non-empty content was sent after first initial conversation session was ,Contains error/crash related keywords,bug; llm,open,2025-09-08,2025-10-01,jefsam7777,,1,https://github.com/OpenHands/OpenHands/issues/10869,No,1906,Normal
Api Integration,11491,[Bug]: convert_tools_to_description does not parse nested parameters of tools,convert_tools_to_description does not parse nested parameters of tools. ### Is there an existing issue for the same bug...,,API or external integration related,bug,open,2025-10-24,2025-10-24,Edward-sy,,0,https://github.com/OpenHands/OpenHands/issues/11491,No,2915,Normal
Api Integration,11418,[Bug]: Error: Cannot find module @rollup/rollup-win32-x64-msvc.,Error: Cannot find module @rollup/rollup-win32-x64-msvc.. ### Is there an existing issue for the same bug...,Cannot find module @rollup/rollup-win32-x64-msvc. ### Is there an existing issue for the same bug? (; Cannot find module @rollup/rollup-win32-x64-msvc. npm has a bug related to optional dependencies (ht; Cannot find module '@rollup/rollup-win32-x64-msvc',API or external integration related,bug; windows,open,2025-10-17,2025-10-17,SkybuckFlying,,0,https://github.com/OpenHands/OpenHands/issues/11418,No,14139,Normal
Api Integration,11406,[Bug]: OPENAI report 【encrypted content】ERROR,OPENAI report 【encrypted content】ERROR. ### Is there an existing issue for the same bug...,"litellm.APIError: APIError: OpenAIException - {""code"":424,""msg"":""POST \""hidden_http_domain/v1/respon",API or external integration related,bug; CLI,open,2025-10-16,2025-10-16,softsweetengineer,,1,https://github.com/OpenHands/OpenHands/issues/11406,No,1128,Normal
Api Integration,11330,use github copilot in local litellm,use github copilot in local litellm,conversation_summary.py:63 - Error generating conversation title: litellm.BadRequestError: Error cod; agent_controller.py:365 - [Agent Controller 3046b22a9ebf47d08e0f94b281037c8f] Error while running th; Error code: 400 - {'error': {'message': 'litellm.BadRequestError: Github_copilotException - bad requ,API or external integration related,bug; llm,open,2025-10-13,2025-10-14,735547951,,10,https://github.com/OpenHands/OpenHands/issues/11330,No,4799,Normal
Api Integration,11306,[Bug]: Bitbucket integration no longer works when running OpenHands locally,Bitbucket integration no longer works when running OpenHands locally. ### Is there an existing issue for the same bug...,,API or external integration related,bug; git Integrations; bitbucket,open,2025-10-09,2025-10-09,mamoodi,,0,https://github.com/OpenHands/OpenHands/issues/11306,No,786,Normal
Api Integration,11303,"[Bug]: Fails to convert PDF files obtained through web search to text format, instead system feeds the binary data from pdf file to the agent","Fails to convert PDF files obtained through web search to text format, instead system feeds the binary data from pdf file to the agent. ### Is there an existing issue for the same bug...","cannot be simplified to markdown, but here is the raw content:\\nContents of https://www",API or external integration related,bug; agent,open,2025-10-09,2025-10-12,vivekvjnk,,3,https://github.com/OpenHands/OpenHands/issues/11303,No,21263,Normal
Api Integration,11253,[Bug]: Agent got stuck in condensation loop. Can able to chat.,Agent got stuck in condensation loop. Can able to chat.. ### Is there an existing issue for the same bug...,conversation_summary.py:63 - Error generating conversation title: litellm.BadRequestError: Openroute; session.py:433 - Agent status error: RuntimeError: Agent reached maximum iteration. Current iteratio; session.py:345 - Agent status error: RuntimeError: Agent reached maximum iteration. Current iteratio,API or external integration related,bug; condenser,open,2025-10-06,2025-10-06,iamRishvanth,,3,https://github.com/OpenHands/OpenHands/issues/11253,No,46360,Normal
Api Integration,11248,[Bug]: 'bedrock/us.anthropic.claude-sonnet-4-5-20250929-v1:0' not working when running openhands in headless model with docker,'bedrock/us.anthropic.claude-sonnet-4-5-20250929-v1:0' not working when running openhands in headless model with docker. ### Is there an existing issue for the same bug...,"agent_controller.py:365 - [Agent Controller ccbc6160-a51e-40-ca9c344c7e3bcf6] Error while running th; Client error '400 Bad Request' for url 'https://bedrock-runtime.us-west-2.amazonaws.com/model/us.ant; {""message"":""The model returned the following errors: `temperature` and `top_p` cannot both be specif",API or external integration related,bug; llm,open,2025-10-06,2025-10-21,nnashiki,,2,https://github.com/OpenHands/OpenHands/issues/11248,No,6524,Normal
Api Integration,11090,"[Bug]:  AnthropicError: max_tokens: 1000000 > 64000, which is the maximum allowed number of output tokens for claude-sonnet-4-20250514","AnthropicError: max_tokens: 1000000 > 64000, which is the maximum allowed number of output tokens for claude-sonnet-4-20250514. ### Is there an existing issue for the same bug...","max_tokens: 1000000 > 64000, which is the maximum allowed number of output tokens for claude-sonnet-; conversation_summary.py:63 - Error generating conversation title: litellm.BadRequestError: Anthropic; Exception in ASGI application",API or external integration related,bug; awaiting release,open,2025-09-24,2025-10-09,pvictorlv,,11,https://github.com/OpenHands/OpenHands/issues/11090,No,12736,Normal
Api Integration,10980,[Bug]: OpenHands Hangs Without Making Request to LLM,OpenHands Hangs Without Making Request to LLM. ### Is there an existing issue for the same bug...,,API or external integration related,bug; Stale,open,2025-09-16,2025-10-29,sempervictus,,1,https://github.com/OpenHands/OpenHands/issues/10980,No,777,Normal
Api Integration,10802,[Bug]: CLI shows api tokens when entering them,CLI shows api tokens when entering them. ### Is there an existing issue for the same bug...,,API or external integration related,bug; CLI; OH UI/UX,open,2025-09-04,2025-10-19,jakob1379,,3,https://github.com/OpenHands/OpenHands/issues/10802,No,1377,Normal
Cli Terminal,11482,[Bug]: openhands cli freezes when running bash-tool,openhands cli freezes when running bash-tool. ### Is there an existing issue for the same bug...,,Command line interface or terminal related,bug; CLI,open,2025-10-23,2025-10-26,jingyi-zhao-01,,1,https://github.com/OpenHands/OpenHands/issues/11482,No,909,Normal
Cli Terminal,11361,[Bug]: selected text in the terminal tab does not show up as highlighted,selected text in the terminal tab does not show up as highlighted. ### Is there an existing issue for the same bug...,cannot be seen,Command line interface or terminal related,bug; terminal/commands; OH UI/UX,open,2025-10-14,2025-10-14,createthis,,0,https://github.com/OpenHands/OpenHands/issues/11361,No,802,Normal
Cli Terminal,11180,"[Bug]: ""Unmatched ( or \("" errors when running `grep` commands","""Unmatched ( or \("" errors when running `grep` commands. ### Is there an existing issue for the same bug...",,Command line interface or terminal related,bug; agent quality; agent,open,2025-09-29,2025-09-30,cubicYYY,,0,https://github.com/OpenHands/OpenHands/issues/11180,No,875,Normal
Cli Terminal,11045,"[Bug]: pre-commit hook exceeds available path length on Windows (Win10, non-WSL)","pre-commit hook exceeds available path length on Windows (Win10, non-WSL). ### Is there an existing issue for the same bug...",[ui] `git commit -F -` exited with an unexpected code: 1.,Command line interface or terminal related,bug,open,2025-09-19,2025-09-19,aphix,,0,https://github.com/OpenHands/OpenHands/issues/11045,No,1938,Normal
Cli Terminal,10989,[Bug]: name 'DotNetMissingError' is not defined error on Windows 11,name 'DotNetMissingError' is not defined error on Windows 11. ### Is there an existing issue for the same bug...,windows_bash.py:92 - Failed to load PowerShell SDK components. Details: Could not load file or assem; Failed to load PowerShell SDK components; cannot find the file specified,Command line interface or terminal related,bug; Stale; windows,open,2025-09-16,2025-10-28,dibu28,,1,https://github.com/OpenHands/OpenHands/issues/10989,No,5177,Normal
Cli Terminal,10963,[Bug]: CLI just stops after starting to analyze the repo,CLI just stops after starting to analyze the repo. ### Is there an existing issue for the same bug...,,Command line interface or terminal related,bug; Stale; CLI,open,2025-09-12,2025-10-26,jamiechicago312,,1,https://github.com/OpenHands/OpenHands/issues/10963,No,953,Normal
Cli Terminal,10871,"[Bug]: `$PATH` contains literal "":$PATH""","`$PATH` contains literal "":$PATH"". ### Is there an existing issue for the same bug...",,Command line interface or terminal related,bug,open,2025-09-08,2025-10-21,Timisorean,,2,https://github.com/OpenHands/OpenHands/issues/10871,No,1398,Normal
Llm Model,11552,[Bug]: Default `reasoning_effort='high'` causes 400 errors with OpenAI Responses API models for unverified organizations,"Default `reasoning_effort='high'` causes 400 errors with OpenAI Responses API models for unverified organizations. ## Description

OpenHands automatically sets `reasoning_effort='high'` by default for all non-Gemini...",400 error; 400 error; 400 error,LLM or AI model related,bug,open,2025-10-29,2025-10-29,Chesars,,0,https://github.com/OpenHands/OpenHands/issues/11552,No,5205,Normal
Llm Model,11427,[Bug]: Cannot go below 9123 tokens message size,Cannot go below 9123 tokens message size. ### Is there an existing issue for the same bug...,Cannot go below 9123 tokens message size ### Is there an existing issue for the same bug? (If one ex,LLM or AI model related,bug; configuration; llm,open,2025-10-19,2025-10-20,miljenkojakovljevic,,0,https://github.com/OpenHands/OpenHands/issues/11427,No,1618,Normal
Llm Model,11236,[Bug]: llm doesn't perform steps but generates everything in one message,llm doesn't perform steps but generates everything in one message. ### Is there an existing issue for the same bug...,,LLM or AI model related,bug; llm,open,2025-10-04,2025-10-07,nomoreqwerty,,2,https://github.com/OpenHands/OpenHands/issues/11236,No,575,Normal
Llm Model,11234,[Bug]: Conversations with GLM-4.6 suddenly end,Conversations with GLM-4.6 suddenly end. ### Is there an existing issue for the same bug...,,LLM or AI model related,bug; llm,open,2025-10-04,2025-10-06,neubig,,0,https://github.com/OpenHands/OpenHands/issues/11234,No,1070,Normal
Llm Model,11215,[Bug]: Cache invalidated due to a change in parameter order in the LLM prompt,Cache invalidated due to a change in parameter order in the LLM prompt. ### Is there an existing issue for the same bug...,,LLM or AI model related,bug,open,2025-10-02,2025-10-02,kripper,,1,https://github.com/OpenHands/OpenHands/issues/11215,No,4430,Normal
Llm Model,11073,[Bug]: Anthropic API key not being utilized when set from settings page,Anthropic API key not being utilized when set from settings page. ### Is there an existing issue for the same bug...,"agent_controller.py:365 - [Agent Controller 2546177ffafe4d7198bdb01f016f04bd] Error while running th; Error code: 401 - {'error': {'message': 'Authentication Error, Invalid proxy server token passed. Re; Error code: 401 - {'error': {'message': 'Authentication Error, Invalid proxy server token passed. Re",LLM or AI model related,bug,open,2025-09-23,2025-10-06,justynoh,,3,https://github.com/OpenHands/OpenHands/issues/11073,No,7843,Normal
Workspace Files,11501,[Bug]: Directory permission issue persists in v0.59 - agent creates directories with root uid/gid,Directory permission issue persists in v0.59 - agent creates directories with root uid/gid. ### Is there an existing issue for the same bug...,cannot write to the directory due to permission issues,"Workspace, file system, or permissions related",bug,open,2025-10-24,2025-10-26,jamiechicago312,,0,https://github.com/OpenHands/OpenHands/issues/11501,No,2177,Normal
Workspace Files,11373,[Bug]: Agent cannot use Docker inside the Sandbox,Agent cannot use Docker inside the Sandbox. ### Is there an existing issue for the same bug...,"failed to monitor for changes: no such file or directory"" dir=/var/run/cdi\n; failed to monitor for changes: no such file or directory"" dir=/etc/cdi\n; failed to mount overlay: operation \n","Workspace, file system, or permissions related",bug,open,2025-10-14,2025-10-14,ledahosn,,0,https://github.com/OpenHands/OpenHands/issues/11373,No,6127,Normal
Workspace Files,11206,[Bug]: Locally mounted folders are chowned to root,Locally mounted folders are chowned to root. ### Is there an existing issue for the same bug...,,"Workspace, file system, or permissions related",bug,open,2025-10-01,2025-10-01,morgaesis,,0,https://github.com/OpenHands/OpenHands/issues/11206,No,1942,Normal
Workspace Files,11109,[Bug]: evaluation/benchmarks/swe_bench/run_infer.py  initialize_runtime with run 'which python' error occasionally,evaluation/benchmarks/swe_bench/run_infer.py  initialize_runtime with run 'which python' error occasionally. ### Is there an existing issue for the same bug...,,"Workspace, file system, or permissions related",bug; evaluation,open,2025-09-25,2025-09-25,MasterYC,,1,https://github.com/OpenHands/OpenHands/issues/11109,No,2716,Normal
Agent Behavior,11432,[Bug]: Deadlock after TaskTrackingAction in headless mode,Deadlock after TaskTrackingAction in headless mode. ### Is there an existing issue for the same bug...,Cannot restore agent state: Could not restore state from session file for sid: 7df6213c-1450-4e-0622,Agent behavior or workflow related,bug; llm,open,2025-10-20,2025-10-20,jarrycyx,,1,https://github.com/OpenHands/OpenHands/issues/11432,No,49811,Normal
Agent Behavior,11012,[Bug]: ripgrep options in ReadOnlyAgent,ripgrep options in ReadOnlyAgent. ### Is there an existing issue for the same bug...,,Agent behavior or workflow related,bug; Stale; agent,open,2025-09-18,2025-10-29,wyc1997,,2,https://github.com/OpenHands/OpenHands/issues/11012,No,4975,Normal
Configuration,11461,"macOS: ""openhands-macos"" cannot be opened - Apple Gatekeeper security issue","macOS: ""openhands-macos"" cannot be opened - Apple Gatekeeper security issue. ## Description

When attempting to run the macOS executable (`openhands-macos`), users encounter the...",cannot be opened - Apple Gatekeeper security issue ## Description; cannot check it for malicious software; cannot run the macOS CLI executable without additional manual steps,Configuration or settings related,bug; CLI,open,2025-10-21,2025-10-26,xingyaoww,,1,https://github.com/OpenHands/OpenHands/issues/11461,No,1772,Normal
